family_id	product_id	image_id	image_path
1	0	0	./00382903006298_PIECE_01.jpg
1	0	1	./00382903008674_PIECE_01.jpg
1	1	2	./00382903009121_PIECE_01.jpg
1	1	3	./00382903096282_PIECE_01.jpg
1	2	4	./00382903096497_PIECE_01.jpg
1	2	5	./00382903096589_PIECE_01.jpg
1	3	6	./00607915116453_PIECE_01.jpg
1	3	7	./00607915117733_PIECE_01.jpg
1	4	8	./00607915123703_PIECE_01.jpg
1	4	9	./00650862110012_PIECE_01.jpg
1	5	10	./00707387786502_PIECE_01.jpg
1	5	11	./00748426108930_PIECE_01.jpg
1	6	12	./00801741095009_PIECE_01.jpg
1	6	13	./00846159000214_PIECE_01.jpg
1	7	14	./00848106000049_PIECE_01.jpg
1	7	15	./00849554001268_PIECE_01.jpg
1	8	16	./00849554001992_PIECE_01.jpg
1	8	17	./00849554002067_PIECE_01.jpg
1	9	18	./00849554002074_PIECE_01.jpg
1	9	19	./00849554002098_PIECE_01.jpg
1	10	20	./00849554002104_PIECE_01.jpg
1	10	21	./00849554002531_PIECE_01.jpg
1	11	22	./00849554003323_PIECE_01.jpg
1	11	23	./00884389136181_SET_01.jpg
1	12	24	./00884389138161_PIECE_01.jpg
1	12	25	./00884389143806_SET_01.jpg
1	13	26	./03600040126844_PIECE_01.jpg
1	13	27	./03600040126974_PIECE_01.jpg
1	14	28	./03600040127100_PIECE_01.jpg
1	14	29	./04001895929090_BOITE_01.jpg
1	15	30	./04021447106861_BOITE_01.jpg
1	15	31	./04022495170163_PIECE_01.jpg
1	16	32	./04022495188069_PIECE_01.jpg
1	16	33	./04022495251060_PIECE_01.jpg
1	17	34	./04022495251114_PIECE_01.jpg
1	17	35	./04022495251169_PIECE_01.jpg
1	18	36	./04022495251862_PIECE_01.jpg
1	18	37	./04026704025916_PIECE_01.jpg
1	19	38	./04026704025923_PIECE_01.jpg
1	19	39	./04026704025930_PIECE_01.jpg
1	20	40	./04034393411101_PIECE_01.jpg
1	20	41	./04038653339204_PIECE_01.jpg
1	21	42	./04038653838585_BOITE_01.jpg
1	21	43	./04042809007596_PIECE_01.jpg
1	22	44	./04045439030682_PIECE_01.jpg
1	22	45	./04045439033737_BOITE_01.jpg
1	23	46	./04046719563784_BOITE_01.jpg
1	23	47	./04046719875412_BOITE_01.jpg
1	24	48	./04046963089504_PIECE_01.jpg
1	24	49	./04046963435738_PIECE_01.jpg
1	25	50	./04049539101198_PIECE_01.jpg
1	25	51	./04050147005211_PAQUET_01.jpg
1	26	52	./04054596430297_PIECE_01.jpg
1	26	53	./04054596430310_PIECE_01.jpg
1	27	54	./04250488600735_PIECE_01.jpg
1	27	55	./04250488608052_PIECE_01.jpg
1	28	56	./04546540144218_PIECE_01.jpg
1	28	57	./04710969713465_PIECE_01.jpg
1	29	58	./04710969718644_PIECE_01.jpg
1	29	59	./05060097931255_BOITE_01.jpg
1	30	60	./05060097931262_BOITE_01.jpg
1	30	61	./05060097931279_BOITE_01.jpg
1	31	62	./05060097931286_BOITE_01.jpg
1	31	63	./05060097931293_BOITE_01.jpg
1	32	64	./05060097931309_BOITE_01.jpg
1	32	65	./05060097931996_BOITE_01.jpg
1	33	66	./05060097932009_BOITE_01.jpg
1	33	67	./05060097932016_BOITE_01.jpg
1	34	68	./05060097932023_BOITE_01.jpg
1	34	69	./05060097932481_BOITE_01.jpg
1	35	70	./05605622212562_PIECE_01.jpg
1	35	71	./05605622212593_PIECE_01.jpg
1	36	72	./05605622220000_ROULEA_01.jpg
1	36	73	./05605622232355_SET_01.jpg
1	37	74	./05605622241333_PIECE_01.jpg
1	37	75	./05705243318374_PIECE_01.jpg
1	38	76	./07310791080062_BOITE_01.jpg
1	38	77	./07310791121277_BOITE_01.jpg
1	39	78	./07310791170060_BOITE_01.jpg
1	39	79	./07323190030163_PIECE_01.jpg
1	40	80	./07323190042807_PIECE_01.jpg
1	40	81	./07323190073115_BOITE_01.jpg
1	41	82	./07323190073146_BOITE_01.jpg
1	41	83	./07323190073177_BOITE_01.jpg
1	42	84	./07323190073207_BOITE_01.jpg
1	42	85	./07323190073238_BOITE_01.jpg
1	43	86	./07323190073269_BOITE_01.jpg
1	43	87	./07323190084067_BOITE_01.jpg
1	44	88	./07323190084098_BOITE_01.jpg
1	44	89	./07323190084128_BOITE_01.jpg
1	45	90	./07323190084159_BOITE_01.jpg
1	45	91	./07323190084227_BOITE_01.jpg
1	46	92	./07323190084258_BOITE_01.jpg
1	46	93	./07323190173723_PIECE_01.jpg
1	47	94	./07323190177424_PIECE_01.jpg
1	47	95	./07323190177431_PIECE_01.jpg
1	48	96	./07323190233571_BOITE_01.jpg
1	48	97	./07332430975911_PIECE_01.jpg
1	49	98	./07332430982032_PIECE_01.jpg
1	49	99	./07332551136802_PIECE_01.jpg
1	50	100	./07332551427832_PIECE_01.jpg
1	50	101	./07332551865801_PIECE_01.jpg
1	51	102	./07630035501017_PIECE_01.jpg
1	51	103	./07630035502205_PIECE_01.jpg
1	52	104	./07630035502403_PIECE_01.jpg
1	52	105	./07630035504834_PIECE_01.jpg
1	53	106	./07630035506623_PIECE_01.jpg
1	53	107	./07630035506708_PIECE_01.jpg
1	54	108	./07630035511764_PIECE_01.jpg
1	54	109	./07630035513010_PIECE_01.jpg
1	55	110	./07630035517018_ROULEA_01.jpg
1	55	111	./07630035517667_ROULEA_01.jpg
1	56	112	./07630035521299_PIECE_01.jpg
1	56	113	./07630035522180_ROULEA_01.jpg
1	57	114	./07630035526560_SET_01.jpg
1	57	115	./07630035529080_PIECE_01.jpg
1	58	116	./07630035531915_ROULEA_01.jpg
1	58	117	./07630035532035_ROULEA_01.jpg
1	59	118	./07630035532073_ROULEA_01.jpg
1	59	119	./07630035532097_ROULEA_01.jpg
1	60	120	./07630035538679_PIECE_01.jpg
1	60	121	./07640103625200_PIECE_01.jpg
